Date,AAPL,MSFT,SPX
2011-06-16,43.251597,21.314871,1267.640015
2011-06-17,42.599817,21.545783,1271.5
2011-06-20,41.942718,21.732287,1278.359985
2011-06-21,43.27022,21.989842000000003,1295.52002
2011-06-22,42.912407,21.892149,1287.140015
2011-06-23,44.059009,21.874385999999998,1283.5
2011-06-24,43.409889,21.581307000000002,1268.449951
2011-06-27,44.16675,22.380616,1280.099976
2011-06-28,44.595065000000005,22.913486,1296.670044
2011-06-29,44.432784999999996,22.753626,1307.410034
2011-06-30,44.649601000000004,23.091110999999998,1320.640015
2011-07-01,45.659195000000004,23.108873000000003,1339.670044
2011-07-05,46.479905,23.117755,1337.880005
2011-07-06,46.789832000000004,23.38419,1339.219971
2011-07-07,47.513443,23.774963,1353.219971
2011-07-08,47.847313,23.908181,1343.800049
2011-07-11,47.087792,23.650625,1319.48999
2011-07-12,47.054534999999994,23.570695999999998,1313.640015
2011-07-13,47.622515,23.650625,1317.719971
2011-07-14,47.589262,23.508526,1308.869995
2011-07-15,48.540328,23.783845,1316.140015
2011-07-18,49.721515000000004,23.615101,1305.439941
2011-07-19,50.127212,24.458816,1326.72998
2011-07-20,51.464027,24.032517000000002,1325.839966
2011-07-21,51.515906,24.068043,1343.800049
2011-07-22,52.315333,24.449934,1345.02002
2011-07-25,53.007017000000005,24.787419,1337.430054
2011-07-26,53.660129000000005,24.938399,1331.939941
2011-07-27,52.220890999999995,24.27231,1304.890015
2011-07-28,52.118468,24.618676,1300.670044
2011-07-29,51.940226,24.334478,1292.280029
2011-08-01,52.774238000000004,24.219023,1286.939941
2011-08-02,51.731390999999995,23.801606,1254.050049
2011-08-03,52.218231,23.908181,1260.339966
2011-08-04,50.196382,23.037824,1200.069946
2011-08-05,49.697571999999994,22.806913,1199.380005
2011-08-08,46.982708,21.741168,1119.459961
2011-08-09,49.749448,22.7181,1172.530029
2011-08-10,48.376719,21.492496,1120.76001
2011-08-11,49.708214,22.371734,1172.640015
2011-08-12,50.145835,22.291803,1178.810059
2011-08-15,50.999802,22.655932,1204.48999
2011-08-16,50.610064,22.655932999999997,1192.76001
2011-08-17,50.604743,22.56656,1193.890015
2011-08-18,48.690638,22.0482,1140.650024
